feature,massignment.xml,massignment1.xml,mexit.xml,mstart_cycle.xml,mstart_cycle1.xml,mstart_eq.xml,mstart_le.xml,mstart_le1.xml,mstart_lt.xml,mstart_lt1.xml,mstop_eq.xml,mstop_eq1.xml,mstop_ge.xml,mstop_ge1.xml,mstop_gt.xml,mstop_gt1.xml,msub_function.xml,msub_function1.xml,msub_function2.xml,msub_function3.xml,msubstitution_coil.xml,msubstitution_coil1.xml,msubstitution_start.xml,msubstitution_start1.xml,msubstitution_stop.xml,msubstitution_stop1.xml,mvalue_filtering.xml,mvalue_filtering1.xml,mvalves_handler.xml,mvalves_handler1.xml
assigned_vars_st,OUT_MV1;OUT_MV2;i;real_value,OUT_MV1;OUT_MV2;i;real_value,OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;i,OUT;OUT_MV1;OUT_MV2;i,OUT;OUT_MV1;OUT_MV2;i,OUT;OUT_MV1;OUT_MV2;i,OUT;OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;i,OUT;OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;i;real_value,OUT_MV1;OUT_MV2;i;real_value,OUT_MV1;OUT_MV2;i;real_value
avg_degree,2.1111,2.1429,2.1667,2.2222,2.1333,2.2,2.2,2.1176,2.2,2.1176,2.2,2.1176,2.2,2.1176,2.2105,2.1176,2.2857,2.2857,2.2857,2.1111,2.3333,2.2667,2.2222,2.1333,2.2222,2.1333,2.1333,2.1333,2.1111,2.1429
block_add_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block_ctd_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block_ctu_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block_div_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block_eq_count,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block_ge_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block_gt_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block_le_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
