feature,lassignment.xml,lassignment1.xml,lexit.xml,lstart_cycle.xml,lstart_cycle1.xml,lstart_eq.xml,lstart_le.xml,lstart_le1.xml,lstart_lt.xml,lstart_lt1.xml,lstop_eq.xml,lstop_eq1.xml,lstop_ge.xml,lstop_ge1.xml,lstop_gt.xml,lstop_gt1.xml,lsub_function.xml,lsub_function1.xml,lsub_function2.xml,lsub_function3.xml,lsubstitution_coil.xml,lsubstitution_coil1.xml,lsubstitution_start.xml,lsubstitution_start1.xml,lsubstitution_stop.xml,lsubstitution_stop1.xml,lvalue_filtering.xml,lvalue_filtering1.xml,lvalves_handler.xml,lvalves_handler1.xml
assigned_vars_st,OUT_MV1;OUT_MV2;real_value,OUT_MV1;OUT_MV2;i;real_value,OUT_MV1;OUT_MV2;i;real_value,OUT;OUT_MV1;OUT_MV2;real_value,OUT;OUT_MV1;OUT_MV2;real_value,OUT_MV1;OUT_MV2;real_value,OUT_MV1;OUT_MV2;real_value,OUT_MV1;OUT_MV2;real_value,OUT_MV1;OUT_MV2;real_value,OUT_MV1;OUT_MV2;avg;i;sum,OUT_MV1;OUT_MV2;real_value,OUT_MV1;OUT_MV2;real_value,OUT_MV1;OUT_MV2;real_value,OUT_MV1;OUT_MV2;real_value,OUT_MV1;OUT_MV2;real_value,OUT_MV1;OUT_MV2;real_value,OUT_MV1;OUT_MV2,OUT_MV1;OUT_MV2,OUT_MV1;OUT_MV2,OUT_MV1;OUT_MV2,OUT;OUT_MV1;OUT_MV2;real_value,OUT;OUT_MV1;OUT_MV2;real_value,OUT;OUT_MV1;OUT_MV2;real_value,OUT;OUT_MV1;OUT_MV2;real_value,OUT;OUT_MV1;OUT_MV2;real_value,OUT;OUT_MV1;OUT_MV2;real_value,OUT;OUT_MV1;OUT_MV2;real_value;value_real,OUT;OUT_MV1;OUT_MV2;real_value;value_real,OUT_MV1;OUT_MV2;real_value,OUT_MV1;OUT_MV2;real_value
avg_degree,2.1111,2.1429,2.1667,2.2222,2.1333,2.1579,2.2,2.1176,2.1176,2.125,2.2,2.1176,2.2,2.1176,2.2105,2.1176,2.2857,2.2857,2.2857,2.2222,2.3333,2.2667,2.2222,2.1333,2.2222,2.1333,2.3333,2.1333,2.1111,2.1429
block_add_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block_ctd_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block_ctu_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block_div_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block_eq_count,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block_ge_count,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block_gt_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block_le_count,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block_lt_count,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block_mul_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block_ne_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block_sub_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
block_tof_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block_ton_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block_types,stop_cycle:1;valves_handler:1,valves_handler:1,EQ:1;start_valves:1;stop_cycle:1;valves_handler:1,start_cycle:1;stop_cycle:1;valves_handler:1,start_cycle:1;valves_handler:1,EQ:1;stop_cycle:1;valves_handler:1,LE:1;stop_cycle:1;valves_handler:1,LE:1;valves_handler:1,LT:1;valves_handler:1,LT:1;level_filtering:1,EQ:1;stop_cycle:1;valves_handler:1,EQ:1;valves_handler:1,GE:1;stop_cycle:1;valves_handler:1,GE:1;valves_handler:1,GT:1;stop_cycle:1;valves_handler:1,GT:1;valves_handler:1,SUB:1;stop_cycle:1;valves_handler:1,SUB:1;stop_cycle:1;valves_handler:1,SUB:1;stop_cycle:1;valves_handler:1,SUB:1;valves_handler:1,ac_cycle:1;stop_cycle:1;valves_handler:1,ac_cycle:1;valves_handler:1,start:1;stop_cycle:1;valves_handler:1,start:1;valves_handler:1,stop:1;stop_cycle:1;valves_handler:1,stop:1;valves_handler:1,stop_cycle:1;value_filtering:1;valves_handler:1,value_filtering:1;valves_handler:1,stop_cycle:1;valves_handler:1,valves_handler:1
fan_in_max,4,3,5,4,3,3,4,3,3,3,4,3,4,3,4,3,5,5,5,4,4,3,4,3,4,3,5,3,4,3
fan_out_max,4,5,4,4,5,4,4,5,5,4,4,5,4,5,4,5,4,4,4,5,4,5,4,5,4,5,4,5,4,5
function_block_names,stop_cycle;valves_handler,valves_handler,start_valves;stop_cycle;valves_handler,start_cycle;stop_cycle;valves_handler,start_cycle;valves_handler,stop_cycle;valves_handler,stop_cycle;valves_handler,valves_handler,valves_handler,level_filtering,stop_cycle;valves_handler,valves_handler,stop_cycle;valves_handler,valves_handler,stop_cycle;valves_handler,valves_handler,stop_cycle;valves_handler,stop_cycle;valves_handler,stop_cycle;valves_handler,valves_handler,ac_cycle;stop_cycle;valves_handler,ac_cycle;valves_handler,start;stop_cycle;valves_handler,start;valves_handler,stop;stop_cycle;valves_handler,stop;valves_handler,stop_cycle;value_filtering;valves_handler,value_filtering;valves_handler,stop_cycle;valves_handler,valves_handler
has_arithmetic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
has_custom_blocks,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
has_fbd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
